person,mean,std
kim,0.1779355727229603,0.1752545365505931
elon,0.10627414129442087,0.14865714441743902
neil,0.1219402517083605,0.11569028348941632
obama,0.11287303841132562,0.1053129335497883
trump,0.11658836219572759,0.11313468954891841
