,freq,word
417,1,mcculloughfmr
418,9,intel
419,3,comm
420,3,inspector
421,1,https://t.co/b0tlw5tvhx
422,148,don?t
423,1227,like
424,65,understand
425,828,how
426,668,really
427,1300,do
428,558,want
429,66,credit
430,198,success
431,586,go
432,9,republicans!
433,10,representatives
434,7,seeks
435,1,contempt
436,1,citations(?)
437,1,justicedepartment
438,50,fbi
439,1,withholding
440,49,key
441,6,documents
442,1,witness
443,354,could
444,2,shed
445,25,light
446,8,surveillance
447,2,associates
448,1273,donald
449,215,trump.
450,4,stuff.
451,18,deep
452,21,state.
453,369,give
454,96,now!
455,356,@foxnews
456,1,.@theresa_may
457,146,focus
458,7,destructive
459,48,radical
460,35,islamic
461,28,terrorism
462,117,taking
463,157,place
464,16,within
465,4,kingdom.
466,423,doing
467,5,fine!
468,3,theresa
469,1,@theresamay
470,14,lifetime
471,46,opportunity
472,25,restore
473,443,american
474,16,prosperity
475,353,?
476,4,reclaim
477,14,america?s
478,1,destiny.but
479,132,order
480,14,achieve
481,10,bright
482,1,glowing
483,78,future
484,575,must
485,186,bring
486,13,main
487,48,street
488,3,roaring
489,1,life!https://t.co/jmnwemrbbr
490,1,https://t.co/3niu0thp1d
491,634,vote
492,104,taxes
493,23,first.
494,393,take
495,147,care
496,28,workers
497,82,protect
498,10,communities
499,30,rebuild
500,66,country!
501,1,https://t.co/ww3qnxcchf
502,1,https://t.co/srl2yrk6k2
503,1204,can
504,241,join
505,2661,&amp;
506,202,strong
507,101,stand
508,69,middle
509,94,class
510,8,backbone
511,247,beautiful
512,1,present-a
513,60,lets
514,164,americans
515,459,keep
516,1,hard-earned
517,27,money!
518,1,https://t.co/9jddew2oo5
519,13,departing
520,2,@jba_nafw
521,24,st.
522,14,charles
523,7,missouri
524,207,help
525,31,push
526,109,plan
527,41,historic
528,16,finish
529,1,line.a
530,123,successful
531,733,us
532,7,giant
533,90,incredible
534,68,victory
535,1,people!https://t.co/jr1deunm2h
536,1,https://t.co/xf9srwdv8u
537,2,growing!
538,2,excluding
539,38,hurricane
540,1,effects
541,1,cea
542,8,estimates
543,420,real
544,16,gdp
545,1,3.9%
546,1,q3.stock
547,73,unemployment
548,13,low.
549,140,winning
550,3,shift
551,390,into
552,4,gear!
553,1,https://t.co/hrkif72vqe
554,43,spoke
555,17,xi
556,7,jinping
557,29,concerning
558,1,provocative
559,23,korea.
560,13,additional
561,178,major
562,22,sanctions
563,1,imposed
564,162,today.
565,33,situation
566,1,handled!
567,21,matt
568,5,lauer
569,348,news
570,2,practitioners
571,107,nbc
572,3,terminating
573,24,contract
574,15,phil
575,2,griffin?
576,7,terminate
577,85,low
578,185,ratings
579,49,joe
580,6,scarborough
581,41,based
582,2,?unsolved
583,2,mystery?
584,79,took
585,107,florida
586,4,ago?
587,2,investigate!
588,1,tha
589,209,wow
590,1,?inappropriate
591,15,sexual
592,8,behavior
593,1,workplace.?
594,1256,but
595,211,top
596,9,executives
597,2,comcast
598,44,putting
599,1052,out
600,40,news.
601,122,check
602,21,andy
603,1,lack?s
604,4,past!
605,168,looks
606,353,another
607,13,market.
608,45,guess
609,34,somebody
610,29,likes
611,2,(my
612,1,policies)!
613,1072,should
614,27,boycott
615,13,cnn.
616,21,dealing
