word,freq,probability,freq_iterated,probability_iterated
america,196,0.002850079976734041,197,0.002575836820083682
health,194,0.002820997527991857,195,0.0025496861924686194
time,193,0.002806456303620765,194,0.002536610878661088
congress,189,0.0027482914061363966,190,0.0024843096234309623
americans,188,0.0027337501817653047,189,0.002471234309623431
who,178,0.002588337938054384,179,0.002340481171548117
about,177,0.0025737967136832923,178,0.002327405857740586
make,177,0.0025737967136832923,178,0.002327405857740586
than,176,0.0025592554893122,177,0.0023143305439330543
up,176,0.0025592554893122,177,0.0023143305439330543
romney,173,0.002515631816198924,174,0.0022751046025104604
by,168,0.0024429256943434637,169,0.0022097280334728033
jobs,164,0.0023847607968590957,165,0.002157426778242678
``,161,0.0023411371237458192,162,0.0021182008368200835
what,159,0.0023120546750036355,160,0.0020920502092050207
has,159,0.0023120546750036355,160,0.0020920502092050207
watch,158,0.002297513450632543,159,0.0020789748953974896
get,157,0.0022829722262614513,158,0.002065899581589958
t,151,0.002195724880034899,152,0.0019874476987447698
people,150,0.002181183655663807,151,0.0019743723849372386
care,149,0.002166642431292715,150,0.001961297071129707
an,149,0.002166642431292715,150,0.001961297071129707
now,146,0.002123018758179439,147,0.001922071129707113
all,146,0.002123018758179439,147,0.001922071129707113
just,145,0.0021084775338083466,146,0.0019089958158995815
they,145,0.0021084775338083466,146,0.0019089958158995815
one,143,0.0020793950850661624,144,0.0018828451882845188
their,143,0.0020793950850661624,144,0.0018828451882845188
change,141,0.0020503126363239786,142,0.001856694560669456
out,141,0.0020503126363239786,142,0.001856694560669456
should,140,0.0020357714119528863,141,0.0018436192468619247
economy,135,0.001963065290097426,136,0.0017782426778242678
act,131,0.0019049003926130581,132,0.0017259414225941423
american,128,0.0018612767194997818,129,0.0016867154811715482
women,125,0.0018176530463865058,126,0.001647489539748954
his,125,0.0018176530463865058,126,0.001647489539748954
need,124,0.0018031118220154137,125,0.0016344142259414225
vote,123,0.0017885705976443216,124,0.0016213389121338912
day,120,0.0017449469245310455,121,0.001582112970711297
he,118,0.0017158644757888613,119,0.0015559623430962343
us,117,0.0017013232514177694,118,0.001542887029288703
work,117,0.0017013232514177694,118,0.001542887029288703
're,115,0.0016722408026755853,116,0.0015167364016736402
here,115,0.0016722408026755853,116,0.0015167364016736402
year,115,0.0016722408026755853,116,0.0015167364016736402
let,113,0.0016431583539334013,114,0.0014905857740585774
help,113,0.0016431583539334013,114,0.0014905857740585774
no,113,0.0016431583539334013,114,0.0014905857740585774
last,109,0.001584993456449033,110,0.001438284518828452
or,108,0.001570452232077941,109,0.0014252092050209206
how,108,0.001570452232077941,109,0.0014252092050209206
when,107,0.001555911007706849,108,0.0014121338912133892
but,107,0.001555911007706849,108,0.0014121338912133892
rt,106,0.0015413697833357568,107,0.0013990585774058578
fact,106,0.0015413697833357568,107,0.0013990585774058578
new,106,0.0015413697833357568,107,0.0013990585774058578
plan,104,0.0015122873345935729,105,0.0013729079497907949
tax,102,0.0014832048858513887,103,0.0013467573221757321
reform,101,0.0014686636614802966,102,0.0013336820083682008
million,100,0.0014541224371092047,101,0.0013206066945606694
every,99,0.0014395812127381126,100,0.001307531380753138
live,98,0.0014250399883670205,99,0.0012944560669456066
back,97,0.0014104987639959284,98,0.0012813807531380753
know,94,0.0013668750908826523,95,0.0012421548117154812
agree,94,0.0013668750908826523,95,0.0012421548117154812
support,94,0.0013668750908826523,95,0.0012421548117154812
keep,93,0.0013523338665115603,94,0.0012290794979079498
've,93,0.0013523338665115603,94,0.0012290794979079498
country,92,0.0013377926421404682,93,0.0012160041841004184
&,91,0.0013232514177693763,92,0.001202928870292887
my,91,0.0013232514177693763,92,0.001202928870292887
senate,90,0.0013087101933982842,91,0.0011898535564853557
years,89,0.001294168969027192,90,0.0011767782426778243
was,89,0.001294168969027192,90,0.0011767782426778243
would,89,0.001294168969027192,90,0.0011767782426778243
pay,88,0.0012796277446561,89,0.001163702928870293
want,87,0.001265086520285008,88,0.0011506276150627616
take,86,0.001250545295913916,87,0.0011375523012552302
go,85,0.001236004071542824,86,0.0011244769874476988
got,85,0.001236004071542824,86,0.0011244769874476988
families,84,0.0012214628471717318,85,0.0011114016736401674
",",80,0.0011632979496873637,81,0.0010591004184100417
going,79,0.0011487567253162716,80,0.0010460251046025104
job,79,0.0011487567253162716,80,0.0010460251046025104
climate,78,0.0011342155009451795,79,0.001032949790794979
tell,78,0.0011342155009451795,79,0.001032949790794979
because,78,0.0011342155009451795,79,0.001032949790794979
retweet,76,0.0011051330522029955,77,0.0010067991631799163
obamacare,76,0.0011051330522029955,77,0.0010067991631799163
there,76,0.0011051330522029955,77,0.0010067991631799163
