word,freq,probability,freq_iterated,probability_iterated
get,436,0.002647140966327881,437,0.002410010643754102
guys,428,0.0025985695724503053,429,0.0023658914557677566
happy,425,0.0025803552997462143,426,0.002349346760272877
your,400,0.00242856969387879,401,0.002211474297815549
who,394,0.002392141148470608,395,0.00217838490682579
-,389,0.0023617840272971233,390,0.002150810414334324
khloekardashian,388,0.002355712603062426,389,0.002145295515836031
time,385,0.0023374983303583357,386,0.0021287508203411518
2,384,0.0023314269061236385,385,0.0021232359218428584
go,378,0.0022949983607154566,379,0.0020901465308530995
w,377,0.00228892693648076,378,0.0020846316323548065
see,375,0.0022767840880113656,376,0.00207360183535822
night,369,0.002240355542603184,370,0.0020405124443684613
how,363,0.002203926997195002,364,0.0020074230533787024
but,360,0.002185712724490911,361,0.001990878357883823
much,353,0.0021432127548480324,354,0.0019522740683957712
everyone,341,0.0020703556640316685,342,0.0018860952864162535
look,329,0.001997498573215305,330,0.0018199165044367359
will,322,0.001954998603572426,323,0.0017813122149486838
best,313,0.0019003557854601531,314,0.0017316781284640456
fun,312,0.0018942843612254562,313,0.0017261632299657526
like,312,0.0018942843612254562,313,0.0017261632299657526
her,302,0.0018335701188784866,303,0.001671014244982821
from,296,0.0017971415734703046,297,0.0016379248539930623
wait,296,0.0017971415734703046,297,0.0016379248539930623
not,295,0.0017910701492356077,296,0.001632409955494769
about,281,0.0017060702099498501,282,0.0015552013765186652
she,278,0.0016878559372457591,279,0.0015386566810237858
birthday,278,0.0016878559372457591,279,0.0015386566810237858
its,274,0.0016635702403069712,275,0.0015165970870306131
can,271,0.0016453559676028802,272,0.0015000523915357337
one,265,0.0016089274221946985,266,0.0014669630005459749
am,265,0.0016089274221946985,266,0.0014669630005459749
kourtneykardash,264,0.0016028559979600016,265,0.001461448102047682
baby,262,0.0015907131494906075,263,0.0014504183050510955
kardashian,260,0.0015785703010212137,261,0.0014393885080545093
omg,258,0.0015664274525518196,259,0.001428358711057923
e,257,0.0015603560283171227,258,0.0014228438125596298
na,253,0.0015360703313783348,254,0.0014007842185664572
did,250,0.0015178560586742438,251,0.0013842395230715778
back,249,0.0015117846344395469,250,0.0013787246245732848
