word,freq,probability,freq_iterated,probability_iterated
nothing,159,0.0005194737306381686,160,0.00047426659117923424
gop,157,0.0005129394698754243,158,0.0004683382587894938
against,157,0.0005129394698754243,158,0.0004683382587894938
speech,156,0.0005096723394940522,157,0.0004653740925946236
media,156,0.0005096723394940522,157,0.0004653740925946236
where,155,0.0005064052091126801,156,0.0004624099263997534
every,155,0.0005064052091126801,156,0.0004624099263997534
'',154,0.0005031380787313079,155,0.00045944576020488315
campaign,152,0.0004966038179685636,153,0.00045351742781514276
mittromney,151,0.0004933366875871915,152,0.0004505532616202725
election,150,0.0004900695572058194,151,0.0004475890954254023
'll,150,0.0004900695572058194,151,0.0004475890954254023
things,149,0.0004868024268244473,150,0.0004446249292305321
its,149,0.0004868024268244473,150,0.0004446249292305321
then,149,0.0004868024268244473,150,0.0004446249292305321
support,147,0.000480268166061703,148,0.00043869659684079166
season,146,0.0004770010356803309,147,0.00043573243064592147
hotel,146,0.0004770010356803309,147,0.00043573243064592147
here,146,0.0004770010356803309,147,0.00043573243064592147
read,146,0.0004770010356803309,147,0.00043573243064592147
everyone,145,0.0004737339052989588,146,0.00043276826445105127
beautiful,144,0.00047046677491758665,145,0.000429804098256181
guy,141,0.0004606653837734703,142,0.00042091159967157037
wonderful,140,0.00045739825339209813,141,0.0004179474334767002
house,140,0.00045739825339209813,141,0.0004179474334767002
morning,140,0.00045739825339209813,141,0.0004179474334767002
iphone,139,0.000454131123010726,140,0.00041498326728183
place,139,0.000454131123010726,140,0.00041498326728183
state,139,0.000454131123010726,140,0.00041498326728183
soon,137,0.00044759686224798176,138,0.00040905493489208953
live,136,0.0004443297318666096,137,0.00040609076869721933
nbc,135,0.00044106260148523747,136,0.0004031266025023491
usa,134,0.00043779547110386533,135,0.0004001624363074789
celebrity,134,0.00043779547110386533,135,0.0004001624363074789
which,134,0.00043779547110386533,135,0.0004001624363074789
wait,134,0.00043779547110386533,135,0.0004001624363074789
join,133,0.0004345283407224932,134,0.0003971982701126087
help,132,0.0004312612103411211,133,0.00039423410391773843
crooked,132,0.0004312612103411211,133,0.00039423410391773843
remember,132,0.0004312612103411211,133,0.00039423410391773843
congratulations,131,0.00042799407995974895,132,0.00039126993772286824
getting,131,0.00042799407995974895,132,0.00039126993772286824
fantastic,131,0.00042799407995974895,132,0.00039126993772286824
before,131,0.00042799407995974895,132,0.00039126993772286824
miss,131,0.00042799407995974895,132,0.00039126993772286824
come,130,0.0004247269495783768,131,0.00038830577152799804
watching,130,0.0004247269495783768,131,0.00038830577152799804
entrepreneurs,129,0.00042145981919700467,130,0.00038534160533312784
off,128,0.0004181926888156326,129,0.0003823774391382576
office,128,0.0004181926888156326,129,0.0003823774391382576
total,127,0.00041492555843426044,128,0.0003794132729433874
change,127,0.00041492555843426044,128,0.0003794132729433874
yesterday,126,0.0004116584280528883,127,0.0003764491067485172
far,126,0.0004116584280528883,127,0.0003764491067485172
such,126,0.0004116584280528883,127,0.0003764491067485172
states,125,0.00040839129767151615,126,0.00037348494055364695
1,124,0.00040512416729014406,125,0.00037052077435877675
ratings,123,0.0004018570369087719,124,0.00036755660816390655
sure,123,0.0004018570369087719,124,0.00036755660816390655
long,121,0.00039532277614602764,122,0.0003616282757741661
bush,120,0.00039205564576465555,121,0.0003586641095792959
ivankatrump,120,0.00039205564576465555,121,0.0003586641095792959
book,120,0.00039205564576465555,121,0.0003586641095792959
york,119,0.0003887885153832834,120,0.00035569994338442566
strong,118,0.00038552138500191126,119,0.00035273577718955546
