freq,word,probability,freq_iterated,probability_iterated
44,still,0.0009034351066669404,45,0.0007839174970385339
43,mars,0.0008829024906063281,44,0.0007664971082154554
43,same,0.0008829024906063281,44,0.0007664971082154554
43,once,0.0008829024906063281,44,0.0007664971082154554
42,many,0.0008623698745457159,43,0.0007490767193923768
42,another,0.0008623698745457159,43,0.0007490767193923768
42,always,0.0008623698745457159,43,0.0007490767193923768
41,instead,0.0008418372584851036,42,0.0007316563305692983
41,true,0.0008418372584851036,42,0.0007316563305692983
41,usa,0.0008418372584851036,42,0.0007316563305692983
40,human,0.0008213046424244913,41,0.0007142359417462198
40,want,0.0008213046424244913,41,0.0007142359417462198
40,'ve,0.0008213046424244913,41,0.0007142359417462198
40,nasa,0.0008213046424244913,41,0.0007142359417462198
40,aliens,0.0008213046424244913,41,0.0007142359417462198
39,venus,0.000800772026363879,40,0.0006968155529231412
39,air,0.000800772026363879,40,0.0006968155529231412
39,got,0.000800772026363879,40,0.0006968155529231412
39,et,0.000800772026363879,40,0.0006968155529231412
39,most,0.000800772026363879,40,0.0006968155529231412
39,cosmic,0.000800772026363879,40,0.0006968155529231412
38,every,0.0007802394103032667,39,0.0006793951641000627
38,",",0.0007802394103032667,39,0.0006793951641000627
38,end,0.0007802394103032667,39,0.0006793951641000627
37,america,0.0007597067942426545,38,0.0006619747752769842
37,?,0.0007597067942426545,38,0.0006619747752769842
37,gravity,0.0007597067942426545,38,0.0006619747752769842
37,before,0.0007597067942426545,38,0.0006619747752769842
37,planet,0.0007597067942426545,38,0.0006619747752769842
37,did,0.0007597067942426545,38,0.0006619747752769842
36,shuttle,0.0007391741781820421,37,0.0006445543864539056
36,last,0.0007391741781820421,37,0.0006445543864539056
36,yet,0.0007391741781820421,37,0.0006445543864539056
36,tonight,0.0007391741781820421,37,0.0006445543864539056
36,star,0.0007391741781820421,37,0.0006445543864539056
35,curious,0.0007186415621214299,36,0.0006271339976308271
35,1,0.0007186415621214299,36,0.0006271339976308271
35,much,0.0007186415621214299,36,0.0006271339976308271
34,geek,0.0006981089460608176,35,0.0006097136088077486
34,?,0.0006981089460608176,35,0.0006097136088077486
34,days,0.0006981089460608176,35,0.0006097136088077486
34,look,0.0006981089460608176,35,0.0006097136088077486
34,been,0.0006981089460608176,35,0.0006097136088077486
34,cool,0.0006981089460608176,35,0.0006097136088077486
34,call,0.0006981089460608176,35,0.0006097136088077486
33,via,0.0006775763300002054,34,0.00059229321998467
33,some,0.0006775763300002054,34,0.00059229321998467
33,must,0.0006775763300002054,34,0.00059229321998467
33,things,0.0006775763300002054,34,0.00059229321998467
33,back,0.0006775763300002054,34,0.00059229321998467
32,tweet,0.000657043713939593,33,0.0005748728311615915
32,evidence,0.000657043713939593,33,0.0005748728311615915
32,might,0.000657043713939593,33,0.0005748728311615915
31,jupiter,0.0006365110978789807,32,0.000557452442338513
31,big,0.0006365110978789807,32,0.000557452442338513
31,week,0.0006365110978789807,32,0.000557452442338513
31,'ll,0.0006365110978789807,32,0.000557452442338513
31,person,0.0006365110978789807,32,0.000557452442338513
31,wheniwasyourage,0.0006365110978789807,32,0.000557452442338513
31,need,0.0006365110978789807,32,0.000557452442338513
31,show,0.0006365110978789807,32,0.000557452442338513
30,brain,0.0006159784818183685,31,0.0005400320535154345
30,off,0.0006159784818183685,31,0.0005400320535154345
